number,values_0,value,params_brics_min_freq,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_reg_alpha,params_reg_lambda,params_rings_min_freq,params_side_min_freq,params_subsample,state,user_attrs_cv_recall,user_attrs_val_metric
0,0.9517676499717034,0.9517676499717034,3,0.9380077226955729,262,2.143009280282333,0.002151080476173534,15,2,1558,0.749506009491348,0.34812238402494367,3,5,0.9931925538089087,COMPLETE,0.795263540948441,0.9517676499717034
1,0.9484560696095078,0.9484560696095078,3,0.4327450320867102,126,0.7177170966442153,0.04622312250703775,13,12,406,2.0811172836609853,2.5119883636543423,3,5,0.5804021811932477,COMPLETE,0.7891365969508926,0.9484560696095078
2,0.9426181380871533,0.9426181380871533,3,0.8327426382562672,210,0.3912674172750952,0.005645640096038153,7,11,1368,0.8005670933861048,2.066360805775612,3,5,0.556679205170685,COMPLETE,0.7711541408105417,0.9426181380871533
3,0.9255676994906622,0.9255676994906622,3,0.7047367433729542,92,1.3535457337497125,0.006549085963534948,5,9,406,4.140867344711527,4.292095418183244,3,5,0.85130323208306,COMPLETE,0.7045162031716846,0.9255676994906622
4,0.9416153791737408,0.9416153791737408,3,0.6454137770647143,243,2.164980931194149,0.0029322837481657485,25,6,1726,4.775909996499052,1.983960485681019,3,5,0.573323120785663,COMPLETE,0.7579962460736995,0.9416153791737408
5,0.9394391977928692,0.9394391977928692,3,0.7967757880381079,277,1.61916199839511,0.01249609966593589,27,4,187,2.901124340361944,1.5612412311496686,3,5,0.4399320848719699,COMPLETE,0.7514172987052785,0.9394391977928692
6,0.9475965619694398,0.9475965619694398,3,0.963203679049562,173,0.3372365508096009,0.004950307909477984,23,14,1834,2.1364487070685705,3.472627835134472,3,5,0.7257030690184731,COMPLETE,0.7843062897418218,0.9475965619694398
7,0.9402889784946237,0.9402889784946237,3,0.7173221473977313,83,2.046383333974603,0.005716125944196606,10,11,1305,2.613733485048846,3.00959354134715,3,5,0.4562629586374985,COMPLETE,0.752731172910442,0.9402889784946237
8,0.9507277518392756,0.9507277518392756,3,0.8828672505478323,232,1.3977457688510113,0.028186672666093288,13,8,510,1.24890737837746,3.395108552197893,3,5,0.928602917788636,COMPLETE,0.7948402666053781,0.9507277518392756
9,0.9458333333333333,0.9458333333333333,3,0.5437233272244242,285,1.5544757265044047,0.06568597495571213,4,14,1477,1.7178035134078395,0.4948501290084317,3,5,0.5699382707030547,COMPLETE,0.7799222400980618,0.9458333333333333
10,0.9471049094510469,0.9471049094510469,3,0.9939090822997425,29,3.8532455461754553,0.0012027012186361713,19,2,987,0.39790489303727644,0.14304071818873654,3,5,0.9843185340927063,COMPLETE,0.7799030874128554,0.9471049094510469
11,0.9490794779286927,0.9490794779286927,3,0.8733394899526152,215,3.300963273463351,0.23351791794126256,16,1,857,1.0908722076737594,4.82386444038538,3,5,0.9727313567713988,COMPLETE,0.7948230291886923,0.9490794779286927
12,0.9498381791171477,0.9498381791171477,3,0.9098457589760577,245,2.9775101937791346,0.034499427608638215,18,7,785,0.031333435125005527,0.9612580880843273,3,5,0.8647088964222619,COMPLETE,0.7900099593963074,0.9498381791171477
13,0.9387883771929824,0.9387883771929824,3,0.7836993675798714,170,4.78301059994304,0.0010899864214939654,12,4,641,1.273209180079947,3.6778716878412454,3,5,0.8666645186015915,COMPLETE,0.7540507929211675,0.9387883771929824
14,0.9471500070741369,0.9471500070741369,3,0.9122457464846504,290,2.7546269044934024,0.01802525978731868,21,4,1526,3.1961113077225956,2.8418570628628896,3,5,0.7502952685240871,COMPLETE,0.7895751934421206,0.9471500070741369
15,0.9449278438030561,0.9449278438030561,3,0.9295324431280376,206,3.7262624195271403,0.1739480283515944,15,9,1240,1.2781854591234545,1.0355743643502464,3,5,0.9179679439464583,COMPLETE,0.7860606757067341,0.9449278438030561
16,0.9540251839275609,0.9540251839275609,3,0.8394785350444463,248,1.0044302730257844,0.09200305346488277,10,5,1971,0.5202069991567398,3.637528026917395,3,5,0.8110884110499335,COMPLETE,0.8044778978012717,0.9540251839275609
17,0.9550686191284663,0.9550686191284663,3,0.6212151508721202,262,0.8413438153490549,0.11353275975099593,8,2,1956,0.4894480686156715,4.144634700408184,3,5,0.7908702273559227,COMPLETE,0.8084214356852831,0.9550686191284663
18,0.9532275749858516,0.9532275749858516,3,0.6178575814495988,298,1.0183953272676316,0.09573929595616534,8,5,1986,0.07866280029240968,4.171877260808177,3,5,0.7875415621651414,COMPLETE,0.8088542863709491,0.9532275749858516
19,0.9544743916242219,0.9544743916242219,3,0.5313145588692334,139,0.1025336450128691,0.13762434947571253,9,1,1966,3.4791888506835984,4.870826919167391,3,5,0.6503420883476675,COMPLETE,0.807971347582931,0.9544743916242219
20,0.9505217176004529,0.9505217176004529,3,0.49698522694262937,133,0.15405347902937105,0.15274514089619115,3,1,1171,3.744849576168866,4.726914627974749,3,5,0.6583982072538589,COMPLETE,0.7983279705814755,0.9505217176004529
21,0.9551110639501981,0.9551110639501981,3,0.5817453500325503,189,0.02170984429978029,0.09853658931676433,8,3,1970,3.6257224680459665,4.189555815213567,3,5,0.6690335925640909,COMPLETE,0.8110434382900482,0.9551110639501981
22,0.9530277306168646,0.9530277306168646,3,0.5708148835909609,185,0.11367660584310102,0.2573173101581822,7,3,1726,3.415150607946665,4.307360454068452,3,5,0.6724153710816738,COMPLETE,0.8040354707730024,0.9530277306168646
23,0.9524812535370684,0.9524812535370684,3,0.4649908826795013,142,0.6820481359150083,0.10085261431256158,10,2,1815,4.2125078980117125,4.989553393716122,3,5,0.6361080091424166,COMPLETE,0.8031582777905463,0.9524812535370684
24,0.9554099462365591,0.9554099462365591,3,0.6242081523876554,110,0.052247117000863694,0.05958402377687851,6,1,1993,3.7295769726672967,4.01396712444597,3,5,0.723229835766712,COMPLETE,0.8088619474450318,0.9554099462365591
25,0.9499071519524617,0.9499071519524617,3,0.6402383737563044,99,0.8403602732584629,0.05792825582766892,6,3,1642,4.8645940252810504,4.1367358452462595,3,5,0.7634496858071528,COMPLETE,0.7970275032559565,0.9499071519524617
26,0.953492855121675,0.953492855121675,3,0.6196585363461293,34,0.548183425231525,0.020620320468387583,30,3,1830,4.03720454111626,3.9340519157851346,3,5,0.7343852918387919,COMPLETE,0.7974584386731021,0.953492855121675
27,0.9437561898698359,0.9437561898698359,3,0.5829226553674304,54,1.146932100601831,0.0436863681426652,3,6,1845,4.472367051293392,2.969338977745291,3,5,0.7086891465210059,COMPLETE,0.7751034245001149,0.9437561898698359
28,0.9548811544991511,0.9548811544991511,3,0.7409011725319369,111,0.46455090257911436,0.0763780582554876,5,1,1615,2.793127636251148,4.41907403596425,3,5,0.8145825926961361,COMPLETE,0.8044836436068337,0.9548811544991511
29,0.9440550721561969,0.9440550721561969,3,0.6717399993121214,62,2.0210344353319245,0.1316980108767636,12,2,1465,3.803781373821271,3.286012385171659,3,5,0.5044270385537805,COMPLETE,0.7869359534206696,0.9440550721561969
30,0.9561005588568195,0.9561005588568195,3,0.5024488830114446,271,0.03683211261020494,0.012914850363878674,8,3,1682,2.219843942619416,3.8451065745500634,3,5,0.6145132799848656,COMPLETE,0.8027177660307976,0.9561005588568195
31,0.9569008205998867,0.9569008205998867,3,0.41218638088973386,267,0.012918268266401849,0.01255944599913065,8,3,1987,2.270209035863834,3.8985763030454255,3,5,0.6094151653948713,COMPLETE,0.8040393013100436,0.9569008205998867
32,0.9571148132427845,0.9571148132427845,3,0.4239404764047511,264,0.009137594305372415,0.010553196762117252,11,3,1713,2.268193101859234,3.8405888299564066,3,5,0.6168981673162304,COMPLETE,0.8044798130697923,0.9571148132427845
33,0.9550191001697794,0.9550191001697794,3,0.4194338213387242,272,0.49109395381755105,0.01212967283890986,14,5,1687,2.1641319247263175,3.805564623682233,3,5,0.6140624480902638,COMPLETE,0.7983432927296408,0.9550191001697794
34,0.9543735851726088,0.9543735851726088,3,0.459573600466731,261,0.32002462513603847,0.00936069093999492,11,4,1385,1.731987900901849,2.6609757732898895,3,5,0.5097523492772235,COMPLETE,0.7957136290507929,0.9543735851726088
35,0.9486877475947934,0.9486877475947934,3,0.40051100634104375,229,0.5823570912248694,0.008941178780297623,6,6,1779,2.326045956192994,4.5547397523547595,3,5,0.597474956227355,COMPLETE,0.7878208074772083,0.9486877475947934
36,0.9164491369552915,0.9164491369552915,3,0.4629683831535482,10,0.02881863839824916,0.002549273428048597,5,3,1561,1.6409023540128849,3.177729259588566,3,5,0.5101020152020925,COMPLETE,0.6720715544319315,0.9164491369552915
37,0.9414385257498584,0.9414385257498584,3,0.4962680490022354,266,0.32340069229135526,0.004029368519186931,7,2,1133,3.0261794267035005,2.3701122055001567,3,5,0.4004965456793107,COMPLETE,0.7566842871370566,0.9414385257498584
38,0.950719793435201,0.950719793435201,3,0.5132643537917191,300,1.273423406289758,0.025712067827941047,9,7,1871,2.4067859137694887,3.92658770991059,3,5,0.5427539314750494,COMPLETE,0.7930801348349037,0.950719793435201
39,0.9467282116581777,0.9467282116581777,3,0.43820606565947257,222,1.7294361959721085,0.0129255390766864,12,15,1700,1.9103134618962458,3.5295448811310273,3,5,0.6928530351759197,COMPLETE,0.7794913046809164,0.9467282116581777
40,0.941514572722128,0.941514572722128,3,0.4024513266473442,116,0.7829052635885895,0.008057789756292682,14,4,186,2.754563286769368,2.258684387931901,3,5,0.6131171128476534,COMPLETE,0.7365145943461273,0.941514572722128
41,0.9570847481607244,0.9570847481607244,3,0.5633363345212646,200,0.05672205399845183,0.014612633303341343,8,3,1889,2.5823447528305286,4.623825342866617,3,5,0.6935295731086643,COMPLETE,0.8049088332184173,0.9570847481607244
42,0.950249363327674,0.950249363327674,3,0.5492419353379872,160,0.27883829836382606,0.013566621419859802,6,11,1866,2.50378064156875,4.56087683079052,3,5,0.6255364090109324,COMPLETE,0.7935206465946526,0.950249363327674
43,0.9572050084889642,0.9572050084889642,3,0.48455521426706494,198,0.0006760451392153338,0.022209731361796322,9,3,1759,1.9739725372897383,3.958343967900837,3,5,0.6947735534865884,COMPLETE,0.80622079215506,0.9572050084889642
44,0.9567310413129597,0.9567310413129597,3,0.48968056962244566,199,0.3422862226602898,0.02252845446906339,11,5,1394,2.1152950623801896,4.614631060382238,3,5,0.5833092063937229,COMPLETE,0.7987703976097448,0.9567310413129597
45,0.9556663837011884,0.9556663837011884,3,0.43907587596499964,206,0.39374913971592274,0.023123302260088376,11,5,1437,1.9212411264092477,4.651140739327147,3,5,0.5730916232348461,COMPLETE,0.8000842718149086,0.9556663837011884
46,0.9559900254668929,0.9559900254668929,3,0.4758630243007217,194,0.7257529220328465,0.03893554628896711,17,4,1315,1.5823862326731535,4.429448770839157,3,5,0.5549800528400376,COMPLETE,0.7983375469240788,0.9559900254668929
47,0.9398441921335596,0.9398441921335596,3,0.43219965084941664,235,4.9307097832156925,0.01643541899310844,11,7,1571,1.9875995961781983,1.7851784310631302,3,5,0.533559032784931,COMPLETE,0.7571171378227227,0.9398441921335596
48,0.9557972552348614,0.9557972552348614,3,0.5324853117082097,250,0.28725214950248806,0.030981075383629264,13,5,1730,2.5857019599155056,3.689956387720369,3,5,0.6938873038113281,COMPLETE,0.804037386041523,0.9557972552348614
49,0.9474904499151103,0.9474904499151103,3,0.48369787322578844,180,0.9947726810894726,0.0063170068774156315,9,9,1887,3.051028011550396,4.998376073710608,3,5,0.5849443913083808,COMPLETE,0.7790507929211676,0.9474904499151103
50,0.9490432229767969,0.9490432229767969,3,0.4580937910587447,157,2.3756435741645667,0.017181406277856113,14,6,963,0.8548261195306417,3.4111035379724886,3,5,0.4558235789018247,COMPLETE,0.7834329272964069,0.9490432229767969
51,0.9497559422750425,0.9497559422750425,3,0.5100624173491478,283,0.012432881619704968,0.004316559521447211,8,3,1632,2.2201003579472145,3.8528556308072015,3,5,0.6421864865405794,COMPLETE,0.786505018003524,0.9497559422750425
52,0.9578646717600453,0.9578646717600453,3,0.5604061460201354,200,0.2107471561930749,0.011112906462160071,10,2,1903,1.3996666483341227,4.309597488718364,3,5,0.5874025880840524,COMPLETE,0.8040335555044816,0.9578646717600453
53,0.9570723684210526,0.9570723684210526,3,0.5623618056258713,199,0.5297005325253233,0.009890414756257621,10,2,1772,1.52645449787561,4.364470555417183,3,5,0.5942503448695982,COMPLETE,0.8044664061901479,0.9570723684210526
54,0.9572368421052632,0.9572368421052632,3,0.5611544141602025,220,0.5849209768822419,0.007441790654838681,10,2,1768,1.447974910887663,4.270971194902749,3,5,0.6766871587001232,COMPLETE,0.8057898567379148,0.9572368421052632
55,0.9567929400113185,0.9567929400113185,3,0.5602887998233205,218,0.5879336503704488,0.00711113838169871,10,2,1778,1.4256048179072063,4.354931293682377,3,5,0.6809536299931542,COMPLETE,0.8053512602466866,0.9567929400113185
56,0.9527261955291455,0.9527261955291455,3,0.601956566593077,173,1.423810706819606,0.01012247399450731,16,2,329,1.0429516172210334,4.111542349657699,3,5,0.6510350108909214,COMPLETE,0.7926357925381138,0.9527261955291455
57,0.9552154074702887,0.9552154074702887,3,0.5206212524132693,208,0.22072462548173394,0.003065814814476777,13,1,1500,1.4150426713387225,4.781589561526133,3,5,0.7523568308191901,COMPLETE,0.7961483950049797,0.9552154074702887
58,0.9552313242784382,0.9552313242784382,3,0.6704980870504376,236,0.9083390236030726,0.007408172996849808,9,4,1905,1.0393024416396033,4.321495529632751,3,5,0.7000957329703921,COMPLETE,0.8040393013100436,0.9552313242784382
59,0.957197934352009,0.957197934352009,3,0.5465290509043594,199,1.123909910068628,0.004706989516428911,20,1,1767,0.7724146218383106,3.6335403567737306,3,5,0.7277228982980797,COMPLETE,0.8009691258714471,0.957197934352009
60,0.9495118845500848,0.9495118845500848,3,0.5938737698300592,166,1.1361795404297959,0.0050360988698166555,21,12,1593,0.24479177387243534,3.5845176985432623,3,5,0.7158915841027205,COMPLETE,0.7904504711560562,0.9495118845500848
61,0.9588992642897566,0.9588992642897566,3,0.555345481799138,181,0.6115131856829126,0.010044565298232075,21,1,1762,0.6595489540095343,4.450196402214999,3,5,0.7313691504525057,COMPLETE,0.8075404121657856,0.9588992642897566
62,0.9565471137521222,0.9565471137521222,3,0.5307669900260423,180,0.6442499053281066,0.0015886920604734555,24,1,1759,0.7142266718172448,4.054466360086622,3,5,0.745597838720001,COMPLETE,0.7895694476365588,0.9565471137521222
63,0.9497426782682512,0.9497426782682512,3,0.5387100179864014,225,4.4350856540152845,0.005593017286478733,20,1,1915,0.777613883200768,4.548914581219732,3,5,0.7670357333209028,COMPLETE,0.7834290967593656,0.9497426782682512
